interests,category,preferred_difficulty,past_experience,preferred_language,recommended_course
Poetry,literature,intermediate,advanced,English,Poetry intermediate English
Analytical Chemistry,chemistry,intermediate,none,Hindi,Analytical Chemistry intermediate Hindi
Modern Physics,physics,beginner,none,Hindi,Modern Physics beginner Hindi
Mechanics,physics,advanced,basic,Hindi,Mechanics advanced Hindi
Ruby,programming,intermediate,basic,English,Ruby intermediate English
Organic Chemistry,chemistry,intermediate,basic,English,Organic Chemistry intermediate English
PHP,programming,advanced,intermediate,English,PHP advanced English
Computer Vision,machine learning,intermediate,intermediate,English,Computer Vision intermediate English
Medieval History,history,beginner,advanced,English,Medieval History beginner English
Modern History,history,beginner,intermediate,English,Modern History beginner English
Ancient History,history,intermediate,basic,English,Ancient History intermediate English
Optics,physics,beginner,advanced,Hindi,Optics beginner Hindi
Electricity and Magnetism,physics,beginner,advanced,English,Electricity and Magnetism beginner English
Optics,physics,intermediate,basic,Hindi,Optics intermediate Hindi
Data Analysis,data science,intermediate,intermediate,English,Data Analysis intermediate English
Data Analysis,data science,intermediate,advanced,English,Data Analysis intermediate English
English Literature,literature,intermediate,basic,Hindi,English Literature intermediate Hindi
Mechanics,physics,beginner,intermediate,English,Mechanics beginner English
PHP,programming,advanced,none,Hindi,PHP advanced Hindi
Go,programming,intermediate,advanced,Hindi,Go intermediate Hindi
Inorganic Chemistry,chemistry,beginner,none,English,Inorganic Chemistry beginner English
Natural Language Processing,machine learning,advanced,intermediate,English,Natural Language Processing advanced English
Algebra,math,intermediate,intermediate,Hindi,Algebra intermediate Hindi
Analytical Chemistry,chemistry,beginner,advanced,Hindi,Analytical Chemistry beginner Hindi
Mechanics,physics,intermediate,none,English,Mechanics intermediate English
JavaScript,programming,beginner,none,English,JavaScript beginner English
Geometry,math,intermediate,none,English,Geometry intermediate English
C++,programming,advanced,basic,English,C++ advanced English
Physical Chemistry,chemistry,beginner,basic,Hindi,Physical Chemistry beginner Hindi
Ruby,programming,advanced,intermediate,English,Ruby advanced English
Mechanics,physics,intermediate,none,English,Mechanics intermediate English
World Literature,literature,advanced,intermediate,Hindi,World Literature advanced Hindi
Drama,literature,beginner,intermediate,English,Drama beginner English
Ruby,programming,intermediate,basic,English,Ruby intermediate English
Analytical Chemistry,chemistry,advanced,basic,Hindi,Analytical Chemistry advanced Hindi
Data Visualization,data science,beginner,none,English,Data Visualization beginner English
Probability and Statistics,math,beginner,intermediate,English,Probability and Statistics beginner English
Swift,programming,advanced,intermediate,Hindi,Swift advanced Hindi
World Literature,literature,intermediate,none,English,World Literature intermediate English
Poetry,literature,intermediate,basic,English,Poetry intermediate English
Indian History,history,advanced,intermediate,English,Indian History advanced English
Data Mining,data science,advanced,intermediate,English,Data Mining advanced English
Data Analysis,data science,intermediate,none,English,Data Analysis intermediate English
Analytical Chemistry,chemistry,intermediate,advanced,Hindi,Analytical Chemistry intermediate Hindi
Geometry,math,beginner,basic,Hindi,Geometry beginner Hindi
Mechanics,physics,advanced,advanced,English,Mechanics advanced English
Geometry,math,advanced,advanced,Hindi,Geometry advanced Hindi
PHP,programming,advanced,intermediate,Hindi,PHP advanced Hindi
C++,programming,intermediate,intermediate,Hindi,C++ intermediate Hindi
Physical Chemistry,chemistry,advanced,basic,Hindi,Physical Chemistry advanced Hindi
Data Visualization,data science,advanced,advanced,Hindi,Data Visualization advanced Hindi
Inorganic Chemistry,chemistry,advanced,none,Hindi,Inorganic Chemistry advanced Hindi
Probability and Statistics,math,advanced,intermediate,English,Probability and Statistics advanced English
Data Analysis,data science,intermediate,none,Hindi,Data Analysis intermediate Hindi
JavaScript,programming,beginner,none,English,JavaScript beginner English
Modern Physics,physics,advanced,basic,English,Modern Physics advanced English
Data Mining,data science,advanced,basic,Hindi,Data Mining advanced Hindi
Optics,physics,beginner,none,English,Optics beginner English
Deep Learning,machine learning,intermediate,none,Hindi,Deep Learning intermediate Hindi
Go,programming,beginner,basic,Hindi,Go beginner Hindi
Number Theory,math,intermediate,none,English,Number Theory intermediate English
Algebra,math,intermediate,advanced,Hindi,Algebra intermediate Hindi
R,programming,intermediate,advanced,Hindi,R intermediate Hindi
Modern History,history,advanced,basic,Hindi,Modern History advanced Hindi
Machine Learning Basics,machine learning,intermediate,none,Hindi,Machine Learning Basics intermediate Hindi
Optics,physics,beginner,none,English,Optics beginner English
Medieval History,history,intermediate,none,Hindi,Medieval History intermediate Hindi
Computer Vision,machine learning,advanced,advanced,English,Computer Vision advanced English
English Literature,literature,advanced,none,Hindi,English Literature advanced Hindi
Ruby,programming,beginner,intermediate,Hindi,Ruby beginner Hindi
Python,programming,beginner,advanced,Hindi,Python beginner Hindi
Go,programming,beginner,none,English,Go beginner English
Python,programming,intermediate,basic,English,Python intermediate English
Electricity and Magnetism,physics,advanced,none,Hindi,Electricity and Magnetism advanced Hindi
Java,programming,beginner,advanced,English,Java beginner English
Indian History,history,beginner,none,English,Indian History beginner English
Natural Language Processing,machine learning,intermediate,intermediate,English,Natural Language Processing intermediate English
JavaScript,programming,beginner,basic,English,JavaScript beginner English
Data Analysis,data science,beginner,advanced,English,Data Analysis beginner English
Thermodynamics,physics,intermediate,advanced,English,Thermodynamics intermediate English
Big Data,data science,intermediate,basic,English,Big Data intermediate English
Inorganic Chemistry,chemistry,beginner,basic,Hindi,Inorganic Chemistry beginner Hindi
Data Mining,data science,intermediate,none,Hindi,Data Mining intermediate Hindi
Data Analysis,data science,intermediate,intermediate,English,Data Analysis intermediate English
Modern Physics,physics,intermediate,none,Hindi,Modern Physics intermediate Hindi
Number Theory,math,advanced,advanced,Hindi,Number Theory advanced Hindi
Number Theory,math,beginner,intermediate,English,Number Theory beginner English
World Wars,history,beginner,none,Hindi,World Wars beginner Hindi
Optics,physics,intermediate,advanced,English,Optics intermediate English
JavaScript,programming,advanced,advanced,English,JavaScript advanced English
Physical Chemistry,chemistry,advanced,intermediate,Hindi,Physical Chemistry advanced Hindi
Thermodynamics,physics,intermediate,basic,English,Thermodynamics intermediate English
Data Mining,data science,beginner,intermediate,Hindi,Data Mining beginner Hindi
World Wars,history,beginner,basic,Hindi,World Wars beginner Hindi
Algebra,math,beginner,basic,English,Algebra beginner English
World Wars,history,beginner,basic,English,World Wars beginner English
Indian History,history,advanced,basic,English,Indian History advanced English
Analytical Chemistry,chemistry,intermediate,intermediate,Hindi,Analytical Chemistry intermediate Hindi
Calculus,math,beginner,advanced,Hindi,Calculus beginner Hindi
English Literature,literature,intermediate,none,Hindi,English Literature intermediate Hindi
American Literature,literature,beginner,none,English,American Literature beginner English
Computer Vision,machine learning,advanced,none,Hindi,Computer Vision advanced Hindi
Big Data,data science,advanced,basic,Hindi,Big Data advanced Hindi
Ruby,programming,advanced,basic,Hindi,Ruby advanced Hindi
Computer Vision,machine learning,beginner,none,English,Computer Vision beginner English
Inorganic Chemistry,chemistry,advanced,basic,Hindi,Inorganic Chemistry advanced Hindi
Computer Vision,machine learning,advanced,intermediate,English,Computer Vision advanced English
Electricity and Magnetism,physics,beginner,basic,Hindi,Electricity and Magnetism beginner Hindi
Modern Physics,physics,intermediate,none,English,Modern Physics intermediate English
Java,programming,intermediate,basic,English,Java intermediate English
Number Theory,math,beginner,basic,Hindi,Number Theory beginner Hindi
Deep Learning,machine learning,beginner,basic,Hindi,Deep Learning beginner Hindi
Swift,programming,advanced,none,Hindi,Swift advanced Hindi
Data Visualization,data science,beginner,intermediate,Hindi,Data Visualization beginner Hindi
Electricity and Magnetism,physics,beginner,intermediate,Hindi,Electricity and Magnetism beginner Hindi
Go,programming,advanced,none,English,Go advanced English
Data Mining,data science,advanced,advanced,English,Data Mining advanced English
R,programming,advanced,advanced,English,R advanced English
Indian History,history,advanced,basic,Hindi,Indian History advanced Hindi
Data Mining,data science,advanced,basic,Hindi,Data Mining advanced Hindi
Natural Language Processing,machine learning,beginner,none,English,Natural Language Processing beginner English
Optics,physics,intermediate,intermediate,Hindi,Optics intermediate Hindi
C++,programming,beginner,none,Hindi,C++ beginner Hindi
Ancient History,history,intermediate,advanced,Hindi,Ancient History intermediate Hindi
Data Analysis,data science,beginner,advanced,Hindi,Data Analysis beginner Hindi
Calculus,math,beginner,advanced,English,Calculus beginner English
JavaScript,programming,advanced,none,Hindi,JavaScript advanced Hindi
C++,programming,intermediate,intermediate,Hindi,C++ intermediate Hindi
Organic Chemistry,chemistry,intermediate,none,English,Organic Chemistry intermediate English
Number Theory,math,advanced,advanced,English,Number Theory advanced English
C++,programming,advanced,none,English,C++ advanced English
Geometry,math,beginner,none,Hindi,Geometry beginner Hindi
Geometry,math,intermediate,basic,Hindi,Geometry intermediate Hindi
Data Visualization,data science,intermediate,intermediate,English,Data Visualization intermediate English
Modern Physics,physics,advanced,intermediate,English,Modern Physics advanced English
Drama,literature,advanced,advanced,English,Drama advanced English
English Literature,literature,advanced,intermediate,English,English Literature advanced English
Analytical Chemistry,chemistry,beginner,basic,English,Analytical Chemistry beginner English
American Literature,literature,advanced,none,English,American Literature advanced English
C++,programming,beginner,advanced,English,C++ beginner English
Electricity and Magnetism,physics,intermediate,none,Hindi,Electricity and Magnetism intermediate Hindi
Data Visualization,data science,beginner,none,English,Data Visualization beginner English
Data Visualization,data science,beginner,none,Hindi,Data Visualization beginner Hindi
Natural Language Processing,machine learning,advanced,intermediate,Hindi,Natural Language Processing advanced Hindi
World Literature,literature,beginner,none,English,World Literature beginner English
R,programming,intermediate,intermediate,Hindi,R intermediate Hindi
Number Theory,math,beginner,advanced,Hindi,Number Theory beginner Hindi
Medieval History,history,beginner,advanced,Hindi,Medieval History beginner Hindi
Inorganic Chemistry,chemistry,intermediate,none,English,Inorganic Chemistry intermediate English
Computer Vision,machine learning,advanced,intermediate,Hindi,Computer Vision advanced Hindi
Modern History,history,beginner,advanced,English,Modern History beginner English
Organic Chemistry,chemistry,beginner,advanced,English,Organic Chemistry beginner English
Medieval History,history,intermediate,none,Hindi,Medieval History intermediate Hindi
R,programming,advanced,none,Hindi,R advanced Hindi
Swift,programming,advanced,basic,English,Swift advanced English
Organic Chemistry,chemistry,intermediate,advanced,Hindi,Organic Chemistry intermediate Hindi
Ancient History,history,beginner,intermediate,English,Ancient History beginner English
R,programming,beginner,advanced,English,R beginner English
Ruby,programming,advanced,advanced,Hindi,Ruby advanced Hindi
Modern History,history,beginner,none,English,Modern History beginner English
R,programming,intermediate,basic,Hindi,R intermediate Hindi
Analytical Chemistry,chemistry,beginner,advanced,English,Analytical Chemistry beginner English
Analytical Chemistry,chemistry,beginner,none,Hindi,Analytical Chemistry beginner Hindi
Thermodynamics,physics,beginner,none,English,Thermodynamics beginner English
Analytical Chemistry,chemistry,advanced,basic,Hindi,Analytical Chemistry advanced Hindi
Number Theory,math,intermediate,advanced,English,Number Theory intermediate English
PHP,programming,advanced,advanced,English,PHP advanced English
Analytical Chemistry,chemistry,beginner,basic,English,Analytical Chemistry beginner English
Big Data,data science,intermediate,basic,English,Big Data intermediate English
C++,programming,intermediate,none,Hindi,C++ intermediate Hindi
Inorganic Chemistry,chemistry,beginner,none,Hindi,Inorganic Chemistry beginner Hindi
Swift,programming,advanced,none,English,Swift advanced English
Physical Chemistry,chemistry,advanced,basic,English,Physical Chemistry advanced English
Medieval History,history,beginner,intermediate,Hindi,Medieval History beginner Hindi
Thermodynamics,physics,intermediate,none,English,Thermodynamics intermediate English
Physical Chemistry,chemistry,beginner,none,Hindi,Physical Chemistry beginner Hindi
Electricity and Magnetism,physics,intermediate,advanced,Hindi,Electricity and Magnetism intermediate Hindi
Drama,literature,intermediate,none,Hindi,Drama intermediate Hindi
Data Mining,data science,beginner,basic,Hindi,Data Mining beginner Hindi
Probability and Statistics,math,advanced,intermediate,English,Probability and Statistics advanced English
Mechanics,physics,intermediate,advanced,Hindi,Mechanics intermediate Hindi
Ruby,programming,beginner,intermediate,English,Ruby beginner English
Medieval History,history,advanced,none,Hindi,Medieval History advanced Hindi
Modern Physics,physics,intermediate,advanced,Hindi,Modern Physics intermediate Hindi
World Wars,history,beginner,advanced,English,World Wars beginner English
Medieval History,history,advanced,intermediate,English,Medieval History advanced English
Natural Language Processing,machine learning,advanced,advanced,Hindi,Natural Language Processing advanced Hindi
Ancient History,history,beginner,basic,Hindi,Ancient History beginner Hindi
Modern Physics,physics,intermediate,intermediate,Hindi,Modern Physics intermediate Hindi
Thermodynamics,physics,intermediate,none,Hindi,Thermodynamics intermediate Hindi
Big Data,data science,intermediate,advanced,English,Big Data intermediate English
Calculus,math,beginner,intermediate,Hindi,Calculus beginner Hindi
Medieval History,history,advanced,none,Hindi,Medieval History advanced Hindi
PHP,programming,beginner,none,English,PHP beginner English
Data Mining,data science,beginner,none,Hindi,Data Mining beginner Hindi
Big Data,data science,intermediate,none,English,Big Data intermediate English
Medieval History,history,beginner,advanced,Hindi,Medieval History beginner Hindi
Drama,literature,advanced,none,English,Drama advanced English
Big Data,data science,intermediate,none,Hindi,Big Data intermediate Hindi
Python,programming,advanced,basic,English,Python advanced English
Ruby,programming,advanced,basic,English,Ruby advanced English
R,programming,advanced,advanced,English,R advanced English
Mechanics,physics,intermediate,none,English,Mechanics intermediate English
Medieval History,history,advanced,basic,English,Medieval History advanced English
World Literature,literature,advanced,advanced,English,World Literature advanced English
American Literature,literature,beginner,intermediate,Hindi,American Literature beginner Hindi
Physical Chemistry,chemistry,intermediate,basic,English,Physical Chemistry intermediate English
Big Data,data science,beginner,advanced,Hindi,Big Data beginner Hindi
Data Mining,data science,beginner,advanced,English,Data Mining beginner English
Physical Chemistry,chemistry,beginner,advanced,Hindi,Physical Chemistry beginner Hindi
R,programming,beginner,intermediate,English,R beginner English
Medieval History,history,beginner,basic,Hindi,Medieval History beginner Hindi
PHP,programming,beginner,basic,Hindi,PHP beginner Hindi
Geometry,math,advanced,intermediate,Hindi,Geometry advanced Hindi
Data Mining,data science,intermediate,basic,English,Data Mining intermediate English
R,programming,intermediate,intermediate,English,R intermediate English
World Literature,literature,intermediate,basic,English,World Literature intermediate English
Organic Chemistry,chemistry,advanced,basic,Hindi,Organic Chemistry advanced Hindi
Physical Chemistry,chemistry,beginner,advanced,English,Physical Chemistry beginner English
Modern History,history,advanced,advanced,English,Modern History advanced English
Modern Physics,physics,beginner,intermediate,Hindi,Modern Physics beginner Hindi
Indian History,history,beginner,none,Hindi,Indian History beginner Hindi
Java,programming,intermediate,none,English,Java intermediate English
Modern Physics,physics,advanced,none,Hindi,Modern Physics advanced Hindi
Python,programming,beginner,advanced,Hindi,Python beginner Hindi
Computer Vision,machine learning,advanced,none,English,Computer Vision advanced English
Swift,programming,advanced,advanced,English,Swift advanced English
R,programming,beginner,none,Hindi,R beginner Hindi
PHP,programming,intermediate,none,English,PHP intermediate English
Big Data,data science,beginner,basic,Hindi,Big Data beginner Hindi
Big Data,data science,beginner,intermediate,English,Big Data beginner English
Computer Vision,machine learning,beginner,intermediate,Hindi,Computer Vision beginner Hindi
Ruby,programming,advanced,basic,Hindi,Ruby advanced Hindi
Indian History,history,intermediate,basic,English,Indian History intermediate English
Medieval History,history,beginner,none,English,Medieval History beginner English
Python,programming,advanced,advanced,English,Python advanced English
C++,programming,advanced,advanced,English,C++ advanced English
Data Analysis,data science,advanced,none,Hindi,Data Analysis advanced Hindi
World Literature,literature,intermediate,intermediate,English,World Literature intermediate English
American Literature,literature,beginner,none,Hindi,American Literature beginner Hindi
Calculus,math,beginner,intermediate,English,Calculus beginner English
C++,programming,advanced,intermediate,English,C++ advanced English
Drama,literature,advanced,intermediate,English,Drama advanced English
Analytical Chemistry,chemistry,beginner,advanced,English,Analytical Chemistry beginner English
Medieval History,history,beginner,none,Hindi,Medieval History beginner Hindi
Algebra,math,advanced,basic,Hindi,Algebra advanced Hindi
JavaScript,programming,advanced,advanced,English,JavaScript advanced English
JavaScript,programming,intermediate,intermediate,English,JavaScript intermediate English
Number Theory,math,beginner,none,English,Number Theory beginner English
Data Visualization,data science,advanced,advanced,Hindi,Data Visualization advanced Hindi
Machine Learning Basics,machine learning,advanced,none,English,Machine Learning Basics advanced English
Algebra,math,intermediate,basic,Hindi,Algebra intermediate Hindi
Computer Vision,machine learning,advanced,basic,Hindi,Computer Vision advanced Hindi
Electricity and Magnetism,physics,beginner,advanced,Hindi,Electricity and Magnetism beginner Hindi
Modern Physics,physics,beginner,basic,Hindi,Modern Physics beginner Hindi
American Literature,literature,advanced,intermediate,English,American Literature advanced English
Ruby,programming,intermediate,advanced,English,Ruby intermediate English
Ruby,programming,beginner,basic,Hindi,Ruby beginner Hindi
Big Data,data science,advanced,basic,English,Big Data advanced English
Optics,physics,intermediate,intermediate,English,Optics intermediate English
Calculus,math,intermediate,advanced,Hindi,Calculus intermediate Hindi
English Literature,literature,intermediate,intermediate,Hindi,English Literature intermediate Hindi
Ancient History,history,intermediate,none,Hindi,Ancient History intermediate Hindi
Physical Chemistry,chemistry,beginner,basic,Hindi,Physical Chemistry beginner Hindi
Python,programming,beginner,advanced,English,Python beginner English
Indian History,history,beginner,intermediate,Hindi,Indian History beginner Hindi
American Literature,literature,beginner,basic,English,American Literature beginner English
Modern Physics,physics,beginner,none,Hindi,Modern Physics beginner Hindi
Go,programming,intermediate,advanced,Hindi,Go intermediate Hindi
Data Analysis,data science,beginner,intermediate,English,Data Analysis beginner English
Swift,programming,beginner,basic,Hindi,Swift beginner Hindi
Modern Physics,physics,advanced,intermediate,English,Modern Physics advanced English
Computer Vision,machine learning,advanced,intermediate,Hindi,Computer Vision advanced Hindi
Geometry,math,intermediate,none,English,Geometry intermediate English
R,programming,intermediate,intermediate,English,R intermediate English
Machine Learning Basics,machine learning,advanced,none,English,Machine Learning Basics advanced English
World Wars,history,beginner,none,Hindi,World Wars beginner Hindi
Java,programming,intermediate,advanced,Hindi,Java intermediate Hindi
Physical Chemistry,chemistry,advanced,advanced,English,Physical Chemistry advanced English
Organic Chemistry,chemistry,advanced,basic,Hindi,Organic Chemistry advanced Hindi
Computer Vision,machine learning,beginner,none,English,Computer Vision beginner English
Electricity and Magnetism,physics,beginner,advanced,English,Electricity and Magnetism beginner English
JavaScript,programming,intermediate,intermediate,English,JavaScript intermediate English
Drama,literature,advanced,advanced,Hindi,Drama advanced Hindi
Go,programming,advanced,none,Hindi,Go advanced Hindi
Organic Chemistry,chemistry,intermediate,none,Hindi,Organic Chemistry intermediate Hindi
Inorganic Chemistry,chemistry,beginner,none,Hindi,Inorganic Chemistry beginner Hindi
Computer Vision,machine learning,advanced,advanced,English,Computer Vision advanced English
English Literature,literature,advanced,advanced,Hindi,English Literature advanced Hindi
Probability and Statistics,math,intermediate,advanced,English,Probability and Statistics intermediate English
World Wars,history,intermediate,none,English,World Wars intermediate English
Mechanics,physics,beginner,none,Hindi,Mechanics beginner Hindi
Number Theory,math,beginner,intermediate,Hindi,Number Theory beginner Hindi
Java,programming,beginner,intermediate,English,Java beginner English
Ancient History,history,intermediate,none,Hindi,Ancient History intermediate Hindi
World Literature,literature,advanced,basic,Hindi,World Literature advanced Hindi
World Wars,history,intermediate,advanced,English,World Wars intermediate English
Deep Learning,machine learning,beginner,advanced,English,Deep Learning beginner English
JavaScript,programming,beginner,advanced,Hindi,JavaScript beginner Hindi
Thermodynamics,physics,intermediate,intermediate,Hindi,Thermodynamics intermediate Hindi
American Literature,literature,beginner,intermediate,English,American Literature beginner English
Python,programming,advanced,none,Hindi,Python advanced Hindi
Data Mining,data science,intermediate,basic,English,Data Mining intermediate English
World Wars,history,intermediate,none,English,World Wars intermediate English
Java,programming,advanced,none,Hindi,Java advanced Hindi
Big Data,data science,intermediate,intermediate,English,Big Data intermediate English
Indian History,history,beginner,basic,Hindi,Indian History beginner Hindi
Drama,literature,advanced,intermediate,Hindi,Drama advanced Hindi
Poetry,literature,advanced,intermediate,English,Poetry advanced English
Java,programming,intermediate,advanced,English,Java intermediate English
Computer Vision,machine learning,beginner,intermediate,English,Computer Vision beginner English
Number Theory,math,intermediate,none,Hindi,Number Theory intermediate Hindi
Go,programming,intermediate,basic,Hindi,Go intermediate Hindi
JavaScript,programming,advanced,none,English,JavaScript advanced English
Ruby,programming,advanced,intermediate,English,Ruby advanced English
Poetry,literature,advanced,none,Hindi,Poetry advanced Hindi
Data Analysis,data science,intermediate,none,Hindi,Data Analysis intermediate Hindi
Modern Physics,physics,beginner,advanced,Hindi,Modern Physics beginner Hindi
American Literature,literature,intermediate,intermediate,Hindi,American Literature intermediate Hindi
Data Mining,data science,advanced,intermediate,English,Data Mining advanced English
World Wars,history,advanced,intermediate,Hindi,World Wars advanced Hindi
English Literature,literature,intermediate,advanced,English,English Literature intermediate English
Drama,literature,advanced,intermediate,English,Drama advanced English
World Wars,history,advanced,none,Hindi,World Wars advanced Hindi
PHP,programming,advanced,none,Hindi,PHP advanced Hindi
World Wars,history,intermediate,none,English,World Wars intermediate English
Electricity and Magnetism,physics,advanced,intermediate,English,Electricity and Magnetism advanced English
Python,programming,advanced,none,Hindi,Python advanced Hindi
Big Data,data science,beginner,intermediate,English,Big Data beginner English
Calculus,math,advanced,advanced,English,Calculus advanced English
American Literature,literature,advanced,intermediate,English,American Literature advanced English
Python,programming,advanced,none,English,Python advanced English
Ancient History,history,beginner,none,Hindi,Ancient History beginner Hindi
Organic Chemistry,chemistry,beginner,intermediate,English,Organic Chemistry beginner English
American Literature,literature,beginner,intermediate,Hindi,American Literature beginner Hindi
Number Theory,math,intermediate,advanced,English,Number Theory intermediate English
Data Mining,data science,advanced,none,Hindi,Data Mining advanced Hindi
Algebra,math,beginner,intermediate,Hindi,Algebra beginner Hindi
Medieval History,history,intermediate,advanced,English,Medieval History intermediate English
Organic Chemistry,chemistry,beginner,advanced,Hindi,Organic Chemistry beginner Hindi
Data Analysis,data science,intermediate,none,English,Data Analysis intermediate English
Electricity and Magnetism,physics,advanced,none,English,Electricity and Magnetism advanced English
Go,programming,advanced,advanced,Hindi,Go advanced Hindi
Organic Chemistry,chemistry,intermediate,basic,English,Organic Chemistry intermediate English
Drama,literature,beginner,none,English,Drama beginner English
Probability and Statistics,math,intermediate,basic,English,Probability and Statistics intermediate English
Electricity and Magnetism,physics,beginner,basic,Hindi,Electricity and Magnetism beginner Hindi
Electricity and Magnetism,physics,advanced,basic,English,Electricity and Magnetism advanced English
American Literature,literature,advanced,basic,English,American Literature advanced English
Big Data,data science,intermediate,intermediate,Hindi,Big Data intermediate Hindi
Swift,programming,intermediate,intermediate,Hindi,Swift intermediate Hindi
Swift,programming,beginner,advanced,Hindi,Swift beginner Hindi
World Literature,literature,beginner,advanced,English,World Literature beginner English
Geometry,math,intermediate,basic,English,Geometry intermediate English
Analytical Chemistry,chemistry,advanced,basic,English,Analytical Chemistry advanced English
Algebra,math,intermediate,intermediate,English,Algebra intermediate English
Probability and Statistics,math,advanced,intermediate,Hindi,Probability and Statistics advanced Hindi
Swift,programming,beginner,none,English,Swift beginner English
PHP,programming,beginner,none,Hindi,PHP beginner Hindi
Computer Vision,machine learning,advanced,basic,English,Computer Vision advanced English
R,programming,beginner,intermediate,English,R beginner English
Algebra,math,intermediate,none,English,Algebra intermediate English
Geometry,math,advanced,none,Hindi,Geometry advanced Hindi
Ruby,programming,beginner,intermediate,English,Ruby beginner English
Probability and Statistics,math,intermediate,none,Hindi,Probability and Statistics intermediate Hindi
Deep Learning,machine learning,intermediate,basic,English,Deep Learning intermediate English
Java,programming,intermediate,intermediate,Hindi,Java intermediate Hindi
JavaScript,programming,advanced,none,Hindi,JavaScript advanced Hindi
Thermodynamics,physics,beginner,basic,Hindi,Thermodynamics beginner Hindi
Deep Learning,machine learning,beginner,none,Hindi,Deep Learning beginner Hindi
Organic Chemistry,chemistry,beginner,basic,Hindi,Organic Chemistry beginner Hindi
Number Theory,math,advanced,basic,English,Number Theory advanced English
Data Visualization,data science,beginner,none,Hindi,Data Visualization beginner Hindi
World Wars,history,intermediate,advanced,English,World Wars intermediate English
Ruby,programming,intermediate,basic,English,Ruby intermediate English
Machine Learning Basics,machine learning,beginner,basic,Hindi,Machine Learning Basics beginner Hindi
Organic Chemistry,chemistry,advanced,advanced,Hindi,Organic Chemistry advanced Hindi
Machine Learning Basics,machine learning,beginner,none,Hindi,Machine Learning Basics beginner Hindi
Modern History,history,beginner,advanced,English,Modern History beginner English
Ruby,programming,advanced,basic,English,Ruby advanced English
Mechanics,physics,advanced,basic,English,Mechanics advanced English
Geometry,math,beginner,intermediate,English,Geometry beginner English
C++,programming,intermediate,advanced,English,C++ intermediate English
American Literature,literature,intermediate,intermediate,Hindi,American Literature intermediate Hindi
Swift,programming,beginner,none,Hindi,Swift beginner Hindi
Analytical Chemistry,chemistry,advanced,intermediate,Hindi,Analytical Chemistry advanced Hindi
Medieval History,history,intermediate,none,English,Medieval History intermediate English
Number Theory,math,advanced,none,Hindi,Number Theory advanced Hindi
Natural Language Processing,machine learning,advanced,basic,English,Natural Language Processing advanced English
Electricity and Magnetism,physics,beginner,none,Hindi,Electricity and Magnetism beginner Hindi
Natural Language Processing,machine learning,advanced,none,Hindi,Natural Language Processing advanced Hindi
Python,programming,advanced,basic,Hindi,Python advanced Hindi
JavaScript,programming,beginner,none,Hindi,JavaScript beginner Hindi
Calculus,math,advanced,intermediate,Hindi,Calculus advanced Hindi
JavaScript,programming,intermediate,intermediate,English,JavaScript intermediate English
Optics,physics,beginner,advanced,English,Optics beginner English
Java,programming,advanced,intermediate,English,Java advanced English
Big Data,data science,beginner,advanced,Hindi,Big Data beginner Hindi
Organic Chemistry,chemistry,intermediate,intermediate,Hindi,Organic Chemistry intermediate Hindi
Medieval History,history,intermediate,basic,English,Medieval History intermediate English
Organic Chemistry,chemistry,beginner,basic,Hindi,Organic Chemistry beginner Hindi
Modern History,history,advanced,basic,English,Modern History advanced English
Geometry,math,beginner,intermediate,English,Geometry beginner English
Data Mining,data science,beginner,basic,Hindi,Data Mining beginner Hindi
PHP,programming,advanced,none,English,PHP advanced English
Number Theory,math,intermediate,basic,Hindi,Number Theory intermediate Hindi
JavaScript,programming,intermediate,basic,English,JavaScript intermediate English
Big Data,data science,intermediate,none,Hindi,Big Data intermediate Hindi
Analytical Chemistry,chemistry,advanced,advanced,English,Analytical Chemistry advanced English
C++,programming,intermediate,none,Hindi,C++ intermediate Hindi
Python,programming,advanced,basic,Hindi,Python advanced Hindi
Natural Language Processing,machine learning,intermediate,none,Hindi,Natural Language Processing intermediate Hindi
JavaScript,programming,advanced,basic,English,JavaScript advanced English
Indian History,history,intermediate,basic,English,Indian History intermediate English
Data Visualization,data science,intermediate,advanced,Hindi,Data Visualization intermediate Hindi
Data Mining,data science,intermediate,basic,Hindi,Data Mining intermediate Hindi
Electricity and Magnetism,physics,intermediate,intermediate,English,Electricity and Magnetism intermediate English
Electricity and Magnetism,physics,intermediate,none,Hindi,Electricity and Magnetism intermediate Hindi
Mechanics,physics,advanced,none,English,Mechanics advanced English
Deep Learning,machine learning,advanced,none,Hindi,Deep Learning advanced Hindi
Physical Chemistry,chemistry,advanced,advanced,Hindi,Physical Chemistry advanced Hindi
Analytical Chemistry,chemistry,beginner,none,Hindi,Analytical Chemistry beginner Hindi
Modern History,history,beginner,advanced,Hindi,Modern History beginner Hindi
American Literature,literature,beginner,basic,English,American Literature beginner English
Modern Physics,physics,beginner,intermediate,Hindi,Modern Physics beginner Hindi
PHP,programming,beginner,basic,English,PHP beginner English
Machine Learning Basics,machine learning,intermediate,none,Hindi,Machine Learning Basics intermediate Hindi
Machine Learning Basics,machine learning,intermediate,basic,English,Machine Learning Basics intermediate English
R,programming,intermediate,basic,English,R intermediate English
Physical Chemistry,chemistry,advanced,intermediate,Hindi,Physical Chemistry advanced Hindi
JavaScript,programming,advanced,advanced,Hindi,JavaScript advanced Hindi
World Wars,history,intermediate,basic,Hindi,World Wars intermediate Hindi
